name,type,address,city,postal_code,latitude,longitude,pharmacist_name,pharmacist_phone,tier,segment,segment_potential,rep_email,notes
Pharmacie des Halles,pharmacy,5 Rue Pierre Lescot,Paris,75001,48.8607,2.3474,Dr. Nathalie Aubert,01 42 36 11 20,a,medical_nutrition,high,thomas.martin@danone.com,Grande officine en centre commercial. Fort trafic soins à domicile et nutrition entérale. Référente Fortimel sur le secteur.
Pharmacie du Louvre,pharmacy,2 Rue de Rivoli,Paris,75001,48.8602,2.3440,M. Pierre Chevalier,01 42 60 52 41,b,mixed,medium,thomas.martin@danone.com,Pharmacie de quartier touristique. Bonne rotation produits infantiles Gallia et Aptamil.
Pharmacie de l'Opéra,pharmacy,6 Boulevard des Capucines,Paris,75009,48.8714,2.3319,Dr. Isabelle Perrin,01 47 42 81 43,a,medical_nutrition,high,thomas.martin@danone.com,Pharmacie à fort volume. Clientèle âgée importante — bonne pénétration CNO Fortimel. Intérêt marqué pour la gamme dysphagie.
Pharmacie Pigalle,pharmacy,12 Rue Pigalle,Paris,75009,48.8820,2.3382,Mme. Caroline Lemaire,01 48 78 34 56,c,mixed,medium,thomas.martin@danone.com,Pharmacie de quartier. Mix clientèle familles et seniors. Références Gallia et Fortimel en stock minimal.
Pharmacie de la République,pharmacy,1 Place de la République,Paris,75010,48.8674,2.3632,M. Yannick Rousseau,01 42 08 19 74,b,infant_formula,high,thomas.martin@danone.com,Quartier jeunes familles. Forte demande laits infantiles Gallia & Aptamil. Intérêt pour gamme diversification Blédina.
Pharmacie du Canal Saint-Martin,pharmacy,34 Quai de Valmy,Paris,75010,48.8696,2.3617,Mme. Laure Dupuis,01 42 39 05 88,c,infant_formula,medium,thomas.martin@danone.com,"Clientèle jeune, quartier branché. Référence Aptamil Profutura bien positionnée. Potentiel eau minérale bébé Evian."
Pharmacie Oberkampf,pharmacy,88 Rue Oberkampf,Paris,75011,48.8660,2.3755,Dr. Marc Tissier,01 43 57 21 09,b,medical_nutrition,medium,thomas.martin@danone.com,Bon ancrage médical. Clients sous HAD et SMAD fréquents. Intérêt pour CNO Fortimel Compact et gamme MHM.
Pharmacie de la Nation,pharmacy,3 Place de la Nation,Paris,75011,48.8488,2.3959,Mme. Valérie Girard,01 43 73 02 37,b,mixed,medium,thomas.martin@danone.com,Grande officine de carrefour. Mix équilibré CNO adulte et laits infantiles. Référent secteur pour HAD.
Pharmacie Montmartre,pharmacy,45 Rue Lepic,Paris,75018,48.8846,2.3333,M. Jean-Paul Renard,01 46 06 52 12,c,mixed,medium,thomas.martin@danone.com,Officine de quartier résidentiel. Clientèle familiale et senior. Rotation correcte Fortimel standard.
Pharmacie Clignancourt,pharmacy,102 Rue du Ruisseau,Paris,75018,48.8923,2.3497,M. Samir Hadj,01 42 52 18 73,d,infant_formula,low,thomas.martin@danone.com,"Petite officine. Clientèle jeune familles, demande gallia 1er âge. Faible volume global."
